Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
300,,,,,,8.68
150,5,20,1,1,1,7.6
76,4.1,5,1,2,1,1.7
38,,,4,4,,6.7
60,4,13,5,5,6,7
100,6.5,6,1,2,1,4.2
60,,,3,4,3,4.1
88.8,,,3,5,,3.6
129.5,7,12,,4,,5.8
100,5,,,1,1,5.7
36,,,4,,,5.5
75,,4,1,5,5,4.5
60,4,,4,6,6,8.5
59,,5,3,,,7.2
35,,,5,,,3.6
521.8,8.2,,1,2,1,3.85
40,,4.5,4,5,4,7.3
113,5,6,2,4,2,5.9
59,4.1,3,3,3,2,4.5
110,5,,3,,,8.5
34.34,3,3,3,2,3,6.9
80,,,5,6,5,6.3
47,4,4,1,2,2,4.5
90,,,3,4,5,6.9
75,,12,3,4,4,8.8
100,5,15,3,4,4,5.81
96,8,,4,6,6,5.1
65,,2.8,2,2,1,2.67
54,,,2,2,1,4.8
100,,36,3,4,3,3.74
120,5,,,,,3.75
43.4,5.5,,2,2,2,4.69
31,4.5,3,3,3,3,2.95
184,15,,,,,9.6
52,4,,1,,,4.8
104,3.2,,3,4,3,8.35
52,3.4,,1,1,1,6.8
70,5.4,8,3,3,3,7.5
69,8,10,3,4,4,2.2
91,,12,2,2,2,3.65
109.4,,4,2,3,1,2.68
148.2,8.7,5.5,2,2,2,9.9
32,,3,2,2,2,4.2
50,5,,1,2,1,9
30,,,,,,6.68
35,4.8,3,5,3,4,5.3
60,4,13,5,4,4,8
31,4,2.5,5,3,4,5.7
64,4,8,4,4,5,6.6
80,5,5,2,3,3,3.5
87,4.3,7,4,6,6,10
55,5,8,5,6,6,5.15
60.5,7.3,,4,3,3,5.5
75,5,25,1,4,3,7.55
112.5,,,5,,,8.5
164.6,4.2,15,2,3,2,3.15
91,,,5,6,,8.7
75,5,5.5,3,4,3,5.5
74,4.5,,4,4,5,5.15
80,,,,,,10
91,,,6,,,7
90,5,5,1,2,2,2.1
60,,5,2,2,2,4.7
51,,,2,2,2,4.98
88,,5,2,3,2,5.6
48,6.9,,3,3,3,6.5
90,4.5,40,3,4,2,7.6
460,5.5,20,2,3,2,6.79
72,3,8,2,1,1,2.8
72,4.5,7,3,3,2,1.52
56,7,,4,5,4,7.2
30,4.3,3,5,3,4,8.38
54.96,4,5,1,2,2,4.3
25.7,5,,3,2,3,2.4
101.8,6.5,2.5,2,3,4,6.5
100,4,8,1,2,1,5.8
39,,,3,2,1,7
235.8,11.93,,2,5,2,6.7
77,,,,,,2.95
80,,,7,,,4.9
72,4,4,2,2,2,3.5
38,,,,,,3
111,6,,2,4,4,7
100,,,3,3,3,2.65
106,5,,3,3,4,3.9
137,8,,3,4,5,5.2
137,8,,3,4,5,5.5
45,,2.5,5,3,4,5.2
200,8,,3,3,3,4.2
42.5,4.1,,5,3,4,7.95
25,4.8,,5,3,4,5.25
40,,,4,,,10
40,,,5,,,7.8
107,6.3,,,,,3.85
44,4,8,5,5,5,9
20,3.8,5,3,4,4,7.2
113,6,12,2,3,3,3.7
65,4,5,3,4,2,6.4
31.5,,6,2,2,2,4.2
80,6.61,20,3,8,6,6.6
76,5,6,2,2,2,6.5
33,4.2,,6,4,5,6.8
548,14,,,,,9.8
93,,5,2,4,3,7
56,4,8,3,4,2,6.9
50,,,4,4,3,3.9
58.8,4.2,15,2,3,3,10
57.9,4,6,4,4,3,5.8
77,,,3,4,4,6.8
37,,,5,6,4,4.5
35,5.3,,2,2,2,2.55
120,4.5,,2,2,3,9.89
37,,,,2,,2.2
93.8,5.5,3,2,3,3,8.2
65,5.45,5,4,4,5,5.8
57,,,4,4,4,5.79
52,6.4,,4,3,3,5.15
75.3,,2.5,3,6,6,5.7
26.7,,,,,,3.5
50,5,,4,4,3,4.5
34,5,2,5,5,5,6.1
108,6,12,3,5,4,9.6
78,6,11,5,5,4,10
100,5,10,,,,6.2
53,4.08,3.2,2,4,2,4.35
176.3,6,6,1,3,2,1.38
155,10,10.5,3,4,5,9.8
63.5,5,8,5,8,8,4.8
100,4,4,3,3,4,6.9
110,4.7,8,2,,,4.7
85,4.3,10.5,2,3,2,4.45
36,3.1,,5,8,8,6.6
135.2,6,12,3,3,3,8.2
100,4,5,,2,1,3.2
38,3.5,2.5,4,4,4,3
24,,,2,,1,3
60,5,6,4,4,6,5.5
151,,,2,2,2,5.7
52,,4,,5,5,6.6
75,5,5,3,4,3,7.3
87.5,5.7,3,2,3,2,1.59
126.6,7,1.3,2,8,8,7.7
44,,,5,6,4,7.9
68,4,8,4,5,5,4.55
36,,7.5,2,2,2,3.25
70,5,5.5,3,3,3,5.8
75,,,,1,1,2.95
153.8,5,6,,3,2,5.25
132,6,,,2,2,8.1
126,9,7,1,2,2,2.55
125.4,6,8,2,2,2,3.66
317.4,7.1,,3,,,3.8
95,5,5,5,6,4,4.66
75,,16,2,2,2,3.29
80,,,2,2,2,1.43
100,,,3,4,4,2.4
100,,,3,4,4,3.25
100,,,3,3,4,2.8
100,,,2,3,3,2.67
100,,,3,4,4,2.75
67.5,4.5,13,4,,,5.05
71.2,6,,2,3,3,4.3
25,3.5,5,6,6,6,9.4
58.6,4.2,5,1,1,1,3.3
67,,,,,,1.35
60,5,7.5,4,,,3.28
100,,,,,1,9.5
31,3.5,4,5,3,4,7.7
200,10,,3,,,9
464,15,14,1,2,3,7.2
100,5,14,3,4,5,2.8
90,5,16,3,4,3,4.68
464,10,15,1,2,3,8.5
450,15,15,2,3,4,8
100,,,,,,5
93,7.8,5,2,4,3,3.9
88,,3.5,3,6,7,5.5
72,,,3,,,4.7
111,4.5,15,3,,,8.5
100,,,3,,,4.2
45,5.4,5,5,6,6,4.85
60,6,10,,,,5.8
454.1,54,12,,4,4,3.5
34,,,6,2,3,8
63,4,8,4,4,2,5.3
33,,,,,,1.2
67,4,6,3,5,6,8.3
193,5,,,,,8.6
100,,6,1,1,1,5.3
99,5.5,14,4,4,5,6.8
100,,5.5,4,8,6,6.15
67,,,,,,6
96.8,5.5,12,3,4,4,9.9
111,6,12,3,5,4,10
81,4.15,5.5,1,2,1,6.5
120,,,,,,8
108,6,20.5,,,,4.32
60,5,12,4,,,4.57
200,5,20,,2,2,1.8
90,5.5,5,1,4,4,4.9
84,6.8,14,3,3,2,3.7
45,4,20,5,4,4,6.9
36,,4,3,3,3,3.98
60,4,10,2,3,2,2.95
31.5,3.5,4,5,5,4,6.2
44,,,5,4,5,9.1
96,,,4,,,9
32,5.2,,5,6,6,7.5
209,,,,3,2,5
57,3.8,,3,3,2,4.3
50,4,4,2,2,2,1.05
67.7,4.8,,,,,2.39
41,8,4,5,4,4,5.2
100,,,3,,,3
38,3,,3,,,3.75
42.8,,,2,2,2,1.85
34,4,3,5,3,3,6.8
45,,,6,8,8,7.9
135,9,13,3,4,5,7.55
80,4,5,,1,1,5.5
164,,,2,3,3,6.2
54,4,4,3,3,4,4.9
85,4.15,9,2,,,5.2
101.3,5,22,1,5,5,6
84.5,13.5,22,2,3,3,7.5
60,4,12,3,4,4,3.7
100,,,,,,3.3
42,3.55,3,2,2,2,3.29
50,4.7,5,1,2,1,4.15
70,3.6,5,2,2,2,8.3
42,,,4,4,4,9.5
114,6,,5,,,9
38,,,5,3,4,5.1
102,5,6,2,3,2,2.25
95,6,6,,,,9.5
32,5,5,3,3,3,2.4
23.9,,,3,2,3,4.45
104,,,,,,9.6
89.4,4.7,,1,4,4,5.9
128,8,30,3,3,3,2.7
62,,12,3,4,4,8.5
56,4,6,1,2,1,3.6
50,4.8,6,4,4,,7.9
120,6,7,2,3,2,4.7
56,4,50,2,2,3,5.2
366,28,12,2,2,2,6.3
160,7,30,2,3,3,9
97,,,3,,,4.1
45,3.7,,2,,,7.2
67,,6,4,7,,8.7
84,5,3,4,3,3,9.3
75,5,15,3,,,4
180,12,7,2,,,7.6
77,4.5,6,3,4,4,6.5
46,3.8,,3,3,2,4.8
75,5,13,4,6,4,4.3
76,,10,4,4,5,7.49
60,,,2,2,2,5
33,,,5,,,5.95
35,4.2,3,5,3,4,5.8
300,48,13,,4,3,9.9
36,3.7,5,6,3,3,6.48
81,,4,2,4,4,7
40,3.6,3,4,4,3,6.3
75,5,5,1,2,2,3.65
58,3.73,,2,2,2,7.6
45,,,4,4,4,7.38
55.4,3.6,,,2,3,6.8
72,,12,2,3,2,6.1
50,4,3.5,5,5,4,9.4
65,,2.8,4,3,4,8.75
36,,3,2,2,2,3.75
298.1,,,,,,9
100,6.15,3.5,3,4,3,7.5
35,3.3,,4,5,,4.1
31,31,2,4,3,3,4.74
50,4,2.5,5,4,3,6.75
57,4,6,2,4,2,7.4
80,4,5,2,3,2,3.9
50,3.5,4,3,2,3,5.05
79.8,5.7,14,3,3,4,5.5
47.6,,,2,2,2,5.2
56,4.5,,5,,,7.7
34.1,,,2,3,2,4.9
61,,5,3,4,4,7.2
64,5.8,5,6,4,4,8.9
90,6.5,5,1,2,2,4.65
67.4,4.4,25,3,4,4,7.5
40,,,3,3,3,4.7
34,10,2,1,1,1,3.35
70,5,3.35,1,2,2,4
37,4.6,7,3,3,,5.6
54,,,6,,,7.5
42,3.5,2,5,9,5,8.2
168,7,25,2,3,3,5
49.2,4.1,10,4,4,3,3.2
46,,,7,,,9.3
60,4,5,2,3,2,5.6
53,,,2,2,2,8
62.3,,2.5,2,2,2,2.48
37,,3,5,4,5,5.8
42,5.2,5,3,3,3,6.2
66,4.4,8,4,4,5,6.25
40,4,8,1,3,2,4.95
67,4.5,8,4,4,3,4.9
100,,,3,4,4,3.3
35,,,5,3,,7.5
82,,6,2,3,2,8.5
35,,,5,,,6.2
80,4.2,5,1,3,2,1.5
35,,4,4,3,3,5.7
56,,,3,4,5,6
35.2,,,4,2,2,3.8
97.6,7,13,5,,4,9.1
31,,,1,1,1,3.2
85,8,8,4,4,5,9.4
56.4,5.18,6,4,5,4,9.3
58.7,4.2,6,3,4,5,5.49
50.2,7,,5,4,,9.2
127.5,5,7,2,3,4,3.9
27,4,,5,4,4,4.9
44,4,,5,6,,6
64,3,3,2,3,2,5.2
66,4.2,6,4,4,5,7.5
36,3.6,2.3,4,3,4,5.3
36,,,4,4,5,6.25
72,4,8,4,4,3,6.85
38,35,25,4,3,3,5.3
91,,,,2,1,1.9
90,4,14,3,4,4,9
24,4,4,4,2,3,1.55
100,5,6,1,2,1,3.2
72,,6,5,4,5,7.8
68.9,5,8,4,4,5,8.8
115,,,5,6,6,10
54,,,4,4,5,8
35,,,5,,,6.55
31,,5,6,,,7.9
72,4,,4,8,8,9.69
96.2,4,,2,3,3,9.6
45.5,4.2,,,4,,6.99
22.4,,3,2,2,2,3.45
42,4,1,2,2,1,3.1
157.4,,,2,3,,6.5
52,4,4.5,4,,,4.35
44,4,5,2,2,2,4
53,4,5,3,3,3,2.7
36,,3,2,2,2,4.5
51,,15,4,3,2,9.5
32,,3,2,,,6
49,,,3,5,4,7
50,3.5,3,2,2,1,4.5
100,5,60,1,2,1,2.5
300,,,1,6,4,9
56,,,2,2,2,2.6
80,4,12,5,6,7,8.9
76.5,,,,4,,6.5
90,12,16,2,3,4,2.55
40,3.9,,5,4,,7.9
60,,,3,4,4,2.35
40,4,3,4,3,4,5.35
62,4,6,3,3,4,7.2
52,4,4,3,4,4,6
60,4.2,5,3,3,4,8.8
40,,5,4,3,4,7.9
37,8.5,4,4,5,4,6.25
67,10,12,3,4,4,3.6
118,,,4,,,9
61,,,,,,2.9
50.5,4.5,6,6,3,4,8.2
177,10,24,3,4,4,10
58,4.6,5.5,3,4,3,9.9
40,3.3,2.2,4,4,3,5.5
33,3.4,,4,4,3,4.2
75,,,3,,,7.8
75,,,3,,,8.12
51,4.6,6,6,4,5,6.5
40,4.9,3,5,6,5,5.95
70,,,2,2,2,1.45
35,,,6,3,4,6.5
42,4,,3,4,3,4.55
50,3.5,5,3,3,3,7.6
45,4,6,4,4,3,8.5
48,4,3,3,4,3,4.75
67,,,4,4,4,6.29
35,3,,5,3,,10
33,4,,5,4,4,3.75
61,6,6,3,4,3,5.99
58,4,4,3,3,3,5
100,,,2,,,3.7
80,,20,3,4,5,7
90,5.5,6,2,3,2,2.7
38,5,,4,4,3,6.95
151,,,2,2,3,5.2
76,6,16,,3,2,7.6
61.5,,,2,2,2,4.5
30,,,2,2,2,3.2
60,4,3,2,2,2,4.5
80,4,6,5,5,5,9.5
25,3.3,,2,3,2,2.65
50,,5,4,3,3,7.8
42,,,5,,,5.85
43,3.5,28,5,8,9,5.2
33,4,,4,3,4,5.2
70,,5.5,3,4,4,6.2
72,,,2,3,3,5.65
85,,,,,,5
104,7.5,,2,4,5,7.7
84,,,4,4,6,9.5
16,3.3,,2,,,1.1
35,5,,6,4,5,5
68,4,8,,,,4.5
60,,6,3,3,4,6.05
83,5.5,5.5,1,4,4,4.2
61,,,2,2,2,7.1
63,4.3,3,,,,8.3
60,10,6,3,4,5,4.9
56,4.68,5,3,3,3,3.35
38,,,5,3,4,6.1
23,,,2,2,3,4.75
40,4,,4,3,4,4.48
160,8,8,1,4,3,5.8
60,4.7,2,4,3,3,9
26,3,,4,3,3,3.86
92,,20,1,1,1,9
84,4.3,4,5,7,5,9
100,5,16,3,3,4,6.1
494,8,32,1,6,6,9
77,,,3,3,3,5.4
52,,3,3,7,7,7
20,4,5,2,2,2,1.49
67.5,5,7,2,3,2,3.35
100,5,13,3,3,5,8
24,3,,2,2,2,2.6
42,5.5,,5,,,5.85
56,4,,4,5,5,6.2
68,,6,4,4,4,8.7
31,3.4,,5,3,4,5.59
11,4,4,1,1,1,1.4
32,,,5,3,4,2.9
69,4.4,5,2,3,3,6
94,6,6,5,5,5,9.99
44,,,4,4,,6.45
188,8,7,2,3,3,6
40,,,4,3,3,6
60,,6,5,6,5,8.8
63,4,,4,4,3,8.8
24,4,,6,3,,3.65
140,7,,3,,,7.5
203,,,,,,7.9
52,3.5,3.5,5,6,4,7.9
87.5,,,5,,,6
106,,,,6,2,6.9
106,5.5,,5,5,6,9
31,,,5,5,4,7.2
62,5,3.5,4,4,4,8.5
39,3,12,,,,3.96
40,4,,4,4,5,7.3
33,3.5,3,4,3,3,3.6
138,6.4,16,1,1,1,8.3
72,4,5.5,4,4,5,4.6
90,5,7.5,3,4,4,6.5
550,12,8,1,3,2,2.4
39,6,5,,3,4,8.6
117.7,5,12,3,5,4,5.2
30,,,4,3,3,5.2
38,,,5,,,5.6
80,5,5.5,3,3,3,4.19
52,4,13,,,,5.8
48,3.5,5,2,4,3,4.8
72,4,5.5,3,4,3,3.8
39,,,5,,,6
54,,,4,,,9.1
60,4,,5,,,7.41
88,5.5,13,5,,,6.8
50,4,3,5,9,5,8.95
97,,,3,5,3,5.9
100,5,7.5,2,3,2,4.29
57,4,,2,3,2,7.4
45,4,20,5,3,3,6.9
151,15,15,1,2,3,5.7
153,,,,,,5.5
40,4,3,2,2,3,3.59
50,4,6,4,5,6,9.3
40,7,,4,,,8.95
50,3,2,5,8,8,8.6
114,6,16,4,6,7,9.7
140,5,16,2,3,2,4
58,4,8,,,,5.8
78,,,3,3,4,8.8
40,42,3,5,3,4,7.5
42.8,,5,2,2,2,1.85
100,5,15.3,3,5,5,5.7
100,,,3,,,7.8
140,7,3,,2,1,1.4
43,6.8,,6,6,6,8.9
68.1,8,,4,5,5,8.3
45,,,5,4,4,8.5
50.8,30,5,1,2,2,3.95
36,5,3.5,5,3,,5.75
38,3.7,2.5,5,3,,5.5
39,4.7,2,5,3,4,6.5
35,4,4,6,4,,5.88
39.3,4,3,2,3,2,4.68
40,3.7,,3,,,6.5
33,5,4,5,3,,4.65
79,8.7,,3,4,3,7.6
16.3,5.2,20,2,,,3.6
80,5,,3,4,4,7.7
38.5,,,5,3,4,7.48
26,4.4,3,4,3,3,3.85
46,8,8,2,2,2,6.8
42,,,,2,2,3.8
112,8,,3,,,7.4
34,3.3,3,5,3,4,5.25
102,7.4,,,3,,8.5
48,,,3,3,3,5.8
100,,25,3,5,5,3.5
38,4.2,,5,3,4,7.5
120,,,3,,,3.15
38,,,6,,,6.85
80,6,6,3,3,2,5.3
33,,,5,3,,5.1
49.5,4.5,12,3,4,3,4.65
50,4,3,3,3,2,3.75
50,3.6,5,5,4,4,9.99
115,5,5,2,3,2,3.1
43,5.5,,5,3,3,5.8
60,,5,2,,,4.75
30.3,,,5,4,4,3.7
45,55,25,5,3,3,5.85
60,4,24,3,3,3,4.2
60,4.8,8,5,5,5,5.9
100,7,,2,3,2,1.85
32,4.3,,4,3,3,3.7
48.9,4.5,,2,2,2,5.2
62,,,,5,,9.9
74,,,,,,6.3
208,8,10,1,2,2,2.8
102,22,,3,,,5.7
100,5,5,,2,2,5.4
76,,,3,3,,3.9
260,69,10,1,3,2,8.8
120,,,3,3,2,7.5
54,,,3,3,3,7.2
38,,4,3,3,3,4.5
80,4,12,1,3,2,6.1
100,5,20,2,2,2,6.7
134,5,,3,3,4,9.2
108,4.5,7,2,3,3,4.9
107,5.5,12,2,3,3,4.8
148,8.2,10,1,2,1,4.1
170,9,12,2,3,3,6.45
110,,12,2,3,2,3.75
64,4,8,4,5,5,5.4
86,4.5,13,3,4,4,5
90,6,32,5,,,5.9
80,5,10,4,5,6,9.3
80,4.3,12,2,2,2,4.5
40,3.2,2.5,4,4,3,6.8
110,,,2,3,2,6.2
56,4,,2,2,2,5.9
105,5.3,12,4,5,5,4.99
35,4.5,2.5,4,5,4,4.85
28,16,3.5,2,2,2,3.35
81,3.3,,2,3,2,7.6
60,4,14,5,9,9,9.8
56,,,3,,,6
210,,10,,3,,5.8
34,5,2.5,5,3,4,5.2
76,7,12,4,7,6,6.2
45,3.3,3,3,3,3,6.6
66,4.2,7,2,2,2,3.15
50,5,6,5,4,5,4.95
33,3.9,2.5,4,3,3,4.69
48,4,10,5,5,4,4.7
52,3.6,2.5,5,4,4,7.1
34,3.6,2.5,5,3,4,5.1
100,5,6,3,4,4,7.2
18,6,5,3,3,3,3.3
107,,,,,,4
56,,,2,3,2,4.75
60,5,8,4,4,5,8.95
50,,,4,4,5,6.8
89,5.1,6,2,4,5,8.95
60.3,,,,4,5,8.5
100,5,,4,6,7,9.5
76,4,30,4,4,4,7.9
40,4.5,5,6,4,4,9.9
62,4,4,5,6,4,4.45
83.6,,5,,3,2,2.59
30,4.2,3,5,4,4,2.55
70,5.5,4.5,2,3,2,2.7
69.7,,,2,3,2,1.75
38,4,,5,,,6.4
65,,,2,2,2,3.3
65.5,5,5,3,3,2,3.2
60,5,,3,4,4,9.2
57,5,,1,,,3.85
64,,,2,4,4,4.65
100,6,15.2,3,4,5,6.8
40,4,6,2,2,2,4.3
116.8,5,14,,2,1,9.5
28,,3,2,1,2,3.85
58.8,,,3,4,5,5.79
55.5,,6,3,4,4,4.88
43,,,2,2,2,5.5
51,13.34,2.2,2,3,2,7.2
301,10,,1,2,1,2.8
38,,,2,2,2,4.2
40,,,5,3,3,7
68,,,,1,,6.5
72,43,3,4,5,5,10
103.95,4.95,24,,2,2,8.8
90,,20,3,,,2.55
88,7,3,2,3,2,2.3
88,,,,,,9
150,,19,,,,8.4
37,3.8,,5,3,3,6.8
60,4,24,3,4,3,9.2
97,,,4,4,3,9
100,,10.5,3,4,3,6.5
60,4,24,1,1,1,7.5
40,,,4,2,3,6.5
100,5,8,3,3,4,6.2
75,6,5.5,2,3,2,4.7
30,4.1,2.5,5,3,4,3.9
36,3.2,12,4,4,3,6.7
70,,8,4,,,8.5
80,6.25,,5,,,5.98
30,4.8,3,6,3,5,5.5
56,4,6,3,3,3,5.5
40,,,4,5,,5.65
70,5,7,4,4,5,3.1
37,,,5,4,4,3.25
40,,,3,3,2,1.95
60,4,5,3,3,3,8.6
40,,,5,3,4,7
35,,,5,,,7.5
28,,,5,,,5.6
68,4,,4,5,6,5.95
50,,,5,9,,7.5
49.05,,8,5,4,4,5.9
50,5,5,4,3,4,7.49
389,,,,,,5
63,5.2,6,2,3,2,2.9
100,5,5,2,3,3,4.2
59,4.1,,3,4,3,8.5
54,4,3,4,5,5,7.2
115,4.2,12,4,4,6,9.9
90,,4,1,2,,2.2
46,,,2,3,3,4.2
98.5,,,1,3,2,7.5
33,3,3,5,4,5,8.3
100,5,15,3,4,6,5.7
86,4,5,2,2,2,7.05
30,,,5,,,5.3
45,9,6,3,3,3,6.25
60,4,12,3,4,4,3.7
50,5,,4,3,3,9
35,4,3.5,3,2,2,3
100,5,8,2,2,2,5.2
40,4,11,3,3,3,3.7
62,,,3,4,4,3.55
221,,,,,,10
16,,3,2,1,1,2.95
66,,,3,4,3,5.99
64,,,2,,,9.2
63,5,17,3,2,2,1.69
80,,6,2,3,2,9.99
100,5,,4,3,3,6.25
75,,,2,2,2,1.8
60,,,1,2,2,6
45,,,,,,6
64,8,8,4,3,3,5.6
35,3.5,3,5,7,4,6.95
31,,45,4,2,3,6.9
68,,,,,,8.8
122,6.1,,,,,8.4
49.4,,,3,3,3,3
90,,,3,,,7.2
80,5,,4,6,8,8.1
30,,,5,3,4,6.2
30,5,3,4,4,4,6.1
40.7,3.3,6,6,6,6,5.2
93,5,5.5,2,3,2,4.5
88,,,4,5,6,8.5
62.5,4.3,6,4,4,3,9.7
50,,,4,4,3,7.6
82.84,4,,4,,,6.95
73,5,3,3,3,4,3.4
44,5,10,4,4,4,8.5
150,,,2,,,5.85
79.7,4.8,,5,7,7,8.2
16,6,,2,2,2,2.2
58.5,,6,4,4,5,6.99
59.45,,,3,5,5,7.3
113.7,5.7,,2,3,3,6.3
31,3.6,2,3,2,1,3.6
50,,,2,3,2,6.1
60,,,3,3,3,7.2
37,4,6,1,1,1,4.8
58,4,5,2,3,2,3.98
31,,4,3,3,2,6.2
27,,3,3,2,3,5
40,,,,,,4.9
36,4,3,3,3,3,5.5
29,,,4,4,3,5.2
33,,,2,2,2,4.2
40,,6,3,4,4,10
33.6,2.8,4,3,4,3,4.9
35,,12,5,3,,5.5
60.4,4.2,4,3,3,3,6.7
21,3,3.5,4,2,3,4.75
40,,,2,2,2,4
30,6.8,2,4,3,3,3.4
35,3.5,2.2,3,3,3,6.7
92.5,5,,2,3,2,4.55
38,,,,4,,5.6
40,4.5,3,3,3,2,3.35
100,,,3,5,3,4.1
66.4,4.5,,2,,,2.9
54.6,,,3,3,3,6
160,8,16,2,3,3,4.7
34.5,3.2,2.5,4,4,4,5.4
36,3.8,,4,3,3,5.86
35,,,4,4,3,5.25
100,4,12,,,,8.4
24,3,4,2,2,2,3
70,,,2,,,8.8
72,,,1,2,1,4.7
85,5,10,,2,1,1.4
97.32,,8,4,4,5,6.8
40,,3,2,2,2,2.89
60,4.6,10,4,3,4,5.7
122,,,,,,9
56,4,,5,,,8.2
80,4,5,3,4,5,8.9
63,,,,,,7.79
30,4.2,,5,3,,6.7
48,4,10,4,4,3,3.25
35,,,4,4,3,9
82.5,5,5.5,1,2,1,3.68
48.9,4.1,10,4,4,3,3.2
80,4,10,2,2,2,9.5
49.2,4.1,10,4,4,3,3.15
55,,,2,3,2,6.2
43,4.3,,4,4,4,6.5
32.5,,12,4,3,3,7.6
50,4.2,10,3,4,4,3.2
48,4,10,4,4,3,3
95.5,,4,,,,5.6
70,,,2,3,2,6.5
38,,,5,3,3,4.95
68,4,7,4,4,5,7.9
43,4.47,,4,,,3.5
63.5,,12,3,4,4,3.7
60,,,2,3,2,8
65,4,6,1,4,3,6.2
50,3,7,4,4,3,8.5
50,,,3,4,4,6.8
118.4,6,5,3,5,3,5.2
80,4,6,3,6,5,6
56.3,4,3,1,1,2,3.5
115,6,,2,3,4,8.2
60,3.5,,4,3,3,4.8
100,,,,,,10
39,4,3,5,4,4,5.2
62.5,,,,,,2.64
110,5,2.5,1,4,4,1.8
34,3.9,2,4,5,3,5.95
35,4,4,5,3,4,8.3
35,,,6,,,6.5
100,,,,,,4.3
28,,,5,4,,4.45
41,,2,5,8,5,6
54,6,20,3,4,4,8.6
56,4,,3,4,4,7.2
84,,,3,,,9.2
39,5.99,3,3,3,2,2.7
56,,5,2,2,2,5.23
80,,13,2,3,2,1.55
49.4,5.9,2.5,3,3,3,2.99
68,,,4,4,5,10
63,,,2,2,2,1.69
65,,,,,1,3
66,5.7,8,4,4,3,9.3
80,,,6,,,5.1
57.8,4,6,4,5,4,6.5
57,,,,,,10
72,4.2,6,4,5,4,9.5
73,4.9,3,1,2,1,7.99
107,5.09,4,2,2,1,2.58
86,7.65,4,1,3,3,7.2
40,,,3,3,,4.7
84.2,3.7,,,,,6.7
98,7.3,,2,3,2,8.58
230,10,20,1,5,3,8
100,,8,2,4,2,1.85
135,9,13.5,3,,,7.55
77.9,7.35,,4,3,3,7.8
80.5,5,6,2,3,4,9.7
50.4,4,,4,4,5,5.2
36,4,5,5,3,3,5.2
51,4.1,,2,2,3,5
60,,,5,6,6,8.3
54,,6,3,3,3,4.6
100,5,10.5,3,4,3,6.7
63,,,5,,,7
32,3.3,2,5,3,3,3.3
60,,4,2,3,2,3.98
35,,3,5,4,4,6.2
64,,5,3,3,4,7.8
55,4.5,7,4,4,4,5.8
68,4,12,2,5,3,6.8
72,4,4,3,4,5,5.5
68,,10,3,4,5,8.8
107,12.5,2.5,,2,2,2.85
52,,6,3,4,4,4.85
64,4,7,4,5,5,5.2
150,,6,2,3,2,2.65
44,4,6,3,4,3,4.4
62,4,,2,3,3,3.39
46,4,8,3,4,4,8.3
75.4,,3,2,3,2,10
64,,,4,4,4,7.5
44.5,4.29,2,2,3,2,3.35
85,,8,3,4,6,9.4
29,2.55,4,4,3,3,5.5
38,4,,5,5,,7.3
32,3.8,2,5,3,4,5.78
70,,5.5,2,3,3,5.4
58,5.1,5,3,3,5,6.75
50,6.2,3.5,3,4,3,4.1
60,5,,3,3,3,10
85,11,3,2,4,4,2.59
72,,,,,,5.68
60,3.5,,3,,,7.5
60,,4,2,2,2,5.6
38,3.8,,4,,,8.9
45,,,5,6,,6.5
30,4,3,5,3,3,3.45
36.4,3,2,2,2,2,3.94
25,,2,5,3,3,4.05
46,4,3,5,3,4,7.05
47.3,4.3,30,2,3,2,6.4
36,3.4,3,4,4,4,5.35
36.3,3,2,2,2,2,3.93
36.2,3,2,2,2,2,3.92
36.1,3,2,2,2,2,3.91
36,3,2,2,2,2,3.9
35,3.7,3,7,3,6,9.2
60,4.2,,2,,,4.9
96,,,1,2,1,3
25.2,,,,3,2,3.5
265,,,,,,4
60,,,5,9,9,8.8
40,4.1,,3,,,6.25
109,4,14,1,2,2,4
35,3.5,,3,3,3,5.5
82,4,6,2,4,3,5.8
67,4.3,6,1,2,1,5.2
100,5,12,4,4,5,9
60,4,12,3,4,4,3.7
52,5,19,5,5,6,9.7
106,4,6,2,3,3,4.3
61,5,8,2,2,1,2.5
105,,,4,5,6,8.3
100,,17,2,2,2,1.85
48,,,4,4,,4.85
40,,2,4,4,5,7
67.4,5,16,2,2,2,3.9
32,3,3,4,4,2,5.2
56,8,3,4,4,3,6.5
38.4,,3,3,2,3,3.1
75,4.5,5,1,3,2,8.2
52,4,,3,4,3,7.7
38.5,4.3,2,5,3,4,6.55
40,,,,4,4,8.1
42.5,,5,2,2,2,1.85
40,4,,5,4,5,7.3
100,,3,4,4,,5.2
63,,4,1,2,2,4.75
90,3.2,,2,3,2,7.8
73.53,4,3.5,,2,1,4.2
31,,,5,,,5.1
115,,,,3,3,3.7
47,3.7,3,3,4,3,7
50,6,6,1,3,1,1.65
75,5,3,2,3,,2.99
90,4,12,2,3,3,3.8
60,,,5,6,7,7.48
58.8,7,7,2,2,2,1.65
151,8,8,,2,3,5.3
80,,,2,3,,6.2
64,5,5,3,3,4,7.8
86.9,4.85,,3,3,2,3.48
76,3.5,6,6,6,7,8.9
52,6.5,,3,,3,4.8
82.5,5.5,,3,3,,3.8
43,,,3,4,4,8.5
42.8,,5,2,2,2,1.85
